Stock,Date,Open,High,Low,Close,Volume,Sector,Prev_Close,Daily_Return,Volatility_x,Volatility_y,Volatility,Cumulative_Return
ADANIENT.NS,2024-03-28,3131.14,3234.04,3093.92,3194.18,2327053,Energy,3119.25,2.402180011220641,2.835096658318356,2.835096658318356,2.835096658318356,0.09595029044134029
ADANIENT.NS,2024-04-01,3227.25,3288.79,3204.92,3249.13,1292646,Energy,3194.18,1.7203163253166782,2.835096658318356,2.835096658318356,2.835096658318356,0.11480410220515824
ADANIENT.NS,2024-04-02,3255.97,3282.0,3237.04,3265.76,868829,Energy,3249.13,0.5118293204642508,2.835096658318356,2.835096658318356,2.835096658318356,0.1205099964659826
ADANIENT.NS,2024-04-03,3247.03,3257.17,3219.06,3230.49,1153109,Energy,3265.76,-1.0799936308853204,2.835096658318356,2.835096658318356,2.835096658318356,0.10840855987071651
ADANIENT.NS,2024-04-04,3247.03,3270.01,3198.77,3207.87,1403826,Energy,3230.49,-0.7002033747202404,2.835096658318356,2.835096658318356,2.835096658318356,0.10064744572881379
ADANIENT.NS,2024-04-05,3208.17,3231.04,3176.04,3221.85,755607,Energy,3207.87,0.435803196513575,2.835096658318356,2.835096658318356,2.835096658318356,0.10544410247964486
ADANIENT.NS,2024-04-08,3237.99,3240.54,3194.28,3221.6,577440,Energy,3221.85,-0.0077595170476589545,2.835096658318356,2.835096658318356,2.835096658318356,0.1053583253560606
ADANIENT.NS,2024-04-09,3237.74,3248.03,3182.09,3195.53,833679,Energy,3221.6,-0.8092252296995192,2.835096658318356,2.835096658318356,2.835096658318356,0.09641348690869522
ADANIENT.NS,2024-04-10,3197.08,3251.63,3189.58,3239.04,1441138,Energy,3195.53,1.3615894702913058,2.835096658318356,2.835096658318356,2.835096658318356,0.11134213749729782
ADANIENT.NS,2024-04-12,3207.07,3244.53,3202.37,3206.97,705173,Energy,3239.04,-0.9901081802015462,2.835096658318356,2.835096658318356,2.835096658318356,0.10033864808391035
ADANIENT.NS,2024-04-15,3147.12,3177.39,3100.36,3144.57,1035378,Energy,3206.97,-1.9457618873890197,2.835096658318356,2.835096658318356,2.835096658318356,0.07892867803728199
ADANIENT.NS,2024-04-16,3098.17,3146.32,3097.17,3103.56,1134184,Energy,3144.57,-1.3041528730478322,2.835096658318356,2.835096658318356,2.835096658318356,0.0648577986845218
ADANIENT.NS,2024-04-18,3122.29,3142.13,3005.55,3016.54,1703646,Energy,3103.56,-2.8038768382116013,2.835096658318356,2.835096658318356,2.835096658318356,0.0350004975073166
ADANIENT.NS,2024-04-19,2997.26,3054.26,2959.79,3024.18,1727317,Energy,3016.54,0.2532703030624448,2.835096658318356,2.835096658318356,2.835096658318356,0.037621846404051196
ADANIENT.NS,2024-04-22,3050.21,3074.69,3022.24,3060.55,993929,Energy,3024.18,1.2026400544941223,2.835096658318356,2.835096658318356,2.835096658318356,0.050100702343087944
ADANIENT.NS,2024-04-23,3056.2,3088.18,3040.32,3062.3,1654272,Energy,3060.55,0.057179265164757964,2.835096658318356,2.835096658318356,2.835096658318356,0.05070114220817756
ADANIENT.NS,2024-04-24,3069.14,3085.03,3037.22,3040.77,605917,Energy,3062.3,-0.7030663226986317,2.835096658318356,2.835096658318356,2.835096658318356,0.04331401632510201
ADANIENT.NS,2024-04-25,3047.21,3118.05,3022.88,3112.4,1515529,Energy,3040.77,2.3556533378058884,2.835096658318356,2.835096658318356,2.835096658318356,0.06789087777446112
ADANIENT.NS,2024-04-26,3117.05,3127.04,3063.25,3077.58,662764,Energy,3112.4,-1.1187508032386635,2.835096658318356,2.835096658318356,2.835096658318356,0.05594384000164698
ADANIENT.NS,2024-04-29,3107.16,3107.66,3048.71,3078.38,648544,Energy,3077.58,0.025994450184891438,2.835096658318356,2.835096658318356,2.835096658318356,0.0562183267971168
ADANIENT.NS,2024-04-30,3091.17,3105.61,3042.22,3051.91,804552,Energy,3078.38,-0.8598678525718155,2.835096658318356,2.835096658318356,2.835096658318356,0.047136244952016515
ADANIENT.NS,2024-05-02,3069.14,3117.0,3012.29,3036.82,2219085,Energy,3051.91,-0.49444446264797104,2.835096658318356,2.835096658318356,2.835096658318356,0.0419587377724715
ADANIENT.NS,2024-05-03,3027.23,3042.22,2972.38,2990.51,1472168,Energy,3036.82,-1.5249504415803354,2.835096658318356,2.835096658318356,2.835096658318356,0.02606938339972542
ADANIENT.NS,2024-05-06,2990.51,2997.46,2847.4,2872.02,2377944,Energy,2990.51,-3.9622004273518643,2.835096658318356,2.835096658318356,2.835096658318356,-0.014585542094265214
